SVI_ID,Image Name,Content,Language,Language-full,Longitude,Latitude,Category,full_stree,l_zip,post_type,NTAName
1,,,,,-73.9855335,40.7579634,,7 AVE,10036,AVE,Midtown-Times Square
2,brand sign_2E_2.jpg;brand sign_2E_.jpg;one way sign_2E_.jpg,Paramount;RIENDS;ONE WAY;Paramount;RIENDS;ONE WAY,en;en;en,English;English;English;English;English;English,-73.98562427,40.7578455,brand sign;brand sign;one way sign;brand sign;brand sign;one way sign,7 AVE,10036,AVE,Midtown-Times Square
3,brand sign_3E_2.jpg,ISSOT HES SINCE 1853;ISSOT HES SINCE 1853,en,English;English,-73.98571504,40.7577276,brand sign;brand sign,7 AVE,10036,AVE,Midtown-Times Square
4,brand sign_4E_2.jpg;brand sign_4E_3.jpg,T TISSOT;CHERS;T TISSOT;CHERS,en;fr,English;French;English;French,-73.98580581,40.7576097,brand sign;brand sign;brand sign;brand sign,7 AVE,10036,AVE,Midtown-Times Square
5,,,,,-73.98589658,40.7574918,,7 AVE,10036,AVE,Midtown-Times Square
6,one way sign_6E_.jpg,ONE WAY;ONE WAY,en,English;English,-73.98598735,40.7573739,one way sign;one way sign,7 AVE,10036,AVE,Midtown-Times Square
7,,,,,-73.98607387,40.75725419,,7 AVE,10036,AVE,Midtown-Times Square
8,brand sign_8E_2.jpg,RELL;RELL,en,English;English,-73.98615883,40.75713382,brand sign;brand sign,7 AVE,10036,AVE,Midtown-Times Square
9,,,,,-73.9862438,40.75701344,,7 AVE,10036,AVE,Midtown-Times Square
10,brand sign_10E_2.jpg,ard Rock;ard Rock,en,English;English,-73.98632877,40.75689307,brand sign;brand sign,7 AVE,10036,AVE,Midtown-Times Square
11,,,,,-73.98641374,40.7567727,,7 AVE,10036,AVE,Midtown-Times Square
12,one way sign_12E_.jpg,ONE WAY SHA;ONE WAY SHA,en,English;English,-73.98649971,40.75665274,one way sign;one way sign,7 AVE,10036,AVE,Midtown-Times Square
13,scaffold sign_13E_2.jpg;scaffold sign_13E_.jpg,AT&T;STAY ActiveArmo;AT&T;STAY ActiveArmo,en;en,English;English;English;English,-73.98658677,40.75653323,scaffold sign;scaffold sign;scaffold sign;scaffold sign,7 AVE,10036,AVE,Midtown-Times Square
14,,,,,-73.98667383,40.75641372,,7 AVE,10036,AVE,Midtown-Times Square
15,brand sign_15E_4.jpg;brand sign_15E_2.jpg;brand sign_15E_3.jpg,STEVE MADDEN;CHASE;CHASE;STEVE MADDEN;CHASE;CHASE,en;en;en,English;English;English;English;English;English,-73.98676088,40.75629421,brand sign;brand sign;brand sign;brand sign;brand sign;brand sign,7 AVE,10036,AVE,Midtown-Times Square
16,brand sign_16E_2.jpg;brand sign_16E_.jpg,STEVE MADDEN;CHASE;STEVE MADDEN;CHASE,en;en,English;English;English;English,-73.98684794,40.7561747,brand sign;brand sign;brand sign;brand sign,7 AVE,10036,AVE,Midtown-Times Square
17,,,,,-73.986935,40.75605519,,7 AVE,10036,AVE,Midtown-Times Square
18,,,,,-73.98702378,40.75593642,,7 AVE,10036,AVE,Midtown-Times Square
19,brand sign_19E_.jpg,OUT FRONT/PRIME/;OUT FRONT/PRIME/,en,English;English,-73.98711289,40.75581779,brand sign;brand sign,7 AVE,10036,AVE,Midtown-Times Square
20,brand sign_20E_.jpg,08 OUT FRONT//P;08 OUT FRONT//P,en,English;English,-73.987202,40.75569915,brand sign;brand sign,7 AVE,10036,AVE,Midtown-Times Square
21,scaffold sign_21E_.jpg,5 Times Square NYC EDC;5 Times Square NYC EDC,en,English;English,-73.98729112,40.75558052,scaffold sign;scaffold sign,7 AVE,10036,AVE,Midtown-Times Square
22,one way sign_22E_.jpg,ONE WAY;ONE WAY,en,English;English,-73.98738023,40.75546189,one way sign;one way sign,7 AVE,10036,AVE,Midtown-Times Square
23,brand sign_23E_.jpg,RED LOBST LINE LOBSTE;RED LOBST LINE LOBSTE,en,English;English,-73.9874685,40.7553429,brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
24,brand sign_24E_2.jpg,GUCTS;GUCTS,en,English;English,-73.98755424,40.75522284,brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
25,,,,,-73.98763999,40.75510279,,7 AVE,10018,AVE,Midtown-Times Square
26,,,,,-73.98772574,40.75498273,,7 AVE,10018,AVE,Midtown-Times Square
27,scaffold sign_27E_2.jpg,207 WEST 40th STREET;207 WEST 40th STREET,en,English;English,-73.98781149,40.75486267,scaffold sign;scaffold sign,7 AVE,10018,AVE,Midtown-Times Square
28,,,,,-73.98789724,40.75474262,,7 AVE,10018,AVE,Midtown-Times Square
29,brand sign_29E_4.jpg;brand sign_29E_2.jpg,1:37 SMOKER'S;McDonald's;1:37 SMOKER'S;McDonald's,en;en,English;English;English;English,-73.98798309,40.7546226,brand sign;brand sign;brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
30,scaffold sign_30E_2.jpg;brand sign_30E_.jpg,FRAME gourmet eatery;FRAME gourmet eatery;FRAME gourmet eatery;FRAME gourmet eatery,en;en,English;English;English;English,-73.98806894,40.75450258,scaffold sign;brand sign;scaffold sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
31,,,,,-73.98815479,40.75438256,,7 AVE,10018,AVE,Midtown-Times Square
32,one way sign_32E_.jpg,ONE WAY;ONE WAY,en,English;English,-73.98824064,40.75426255,one way sign;one way sign,7 AVE,10018,AVE,Midtown-Times Square
33,,,,,-73.98832657,40.75414256,,7 AVE,10018,AVE,Midtown-Times Square
34,,,,,-73.98841447,40.75402341,,7 AVE,10018,AVE,Midtown-Times Square
35,,,,,-73.98850238,40.75390425,,7 AVE,10018,AVE,Midtown-Times Square
36,brand sign_36E_2.jpg,NEW YORK GIFTS;NEW YORK GIFTS,en,English;English,-73.98859028,40.7537851,brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
37,advertising sign_37E_.jpg;brand sign_37E_4.jpg;brand sign_37E_6.jpg;brand sign_37E_2.jpg;brand sign_37E_3.jpg;brand sign_37E_.jpg,e moment. What will you find? cys backstage;FUTURE TAN COMEN;NEW Y RK GIFT;FUTURE T;JEWELRY;Baked by Melissa;e moment. What will you find? cys backstage;FUTURE TAN COMEN;NEW Y RK GIFT;FUTURE T;JEWELRY;Baked by Melissa,en;es;en;en;en;en,English;Spanish;English;English;English;English;English;Spanish;English;English;English;English,-73.98867819,40.75366594,advertising sign;brand sign;brand sign;brand sign;brand sign;brand sign;advertising sign;brand sign;brand sign;brand sign;brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
38,,,,,-73.98876609,40.75354679,,7 AVE,10018,AVE,Midtown-Times Square
39,brand sign_39E_.jpg,*Citizens;*Citizens,en,English;English,-73.98885362,40.75342748,brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
40,,,,,-73.98894094,40.75330807,,7 AVE,10018,AVE,Midtown-Times Square
41,brand sign_41E_3.jpg,The NAVARRI 512;The NAVARRI 512,en,English;English,-73.98902825,40.75318866,brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
42,brand sign_42E_.jpg,GRAND OPENING;GRAND OPENING,en,English;English,-73.98911557,40.75306926,brand sign;brand sign,7 AVE,10018,AVE,Midtown-Times Square
