NTAName,,worda,word-1,occurrence-1,level-1,wordb,word-2,occurrence-2,level-2,wordc,word-3,occurrence-3,level-3,wordd,word-4,occurrence-4,level-4,worde,word-5,occurrence-5,level-5
Midtown-Times Square,"""",coffee,"""coffee""",10,3,world,"""world""",8,3,best,"""best""",8,5,chase,"""chase""",6,3,th,"""th""",6,3
Midtown South-Flatiron-Union Square,"""",great,"""great""",8,5,nd,"""nd""",6,3,no,"""no""",6,2,mobile,"""mobile""",6,3,re,"""re""",6,3
Greenwich Village,"""",eleven,"""eleven""",4,3,winick,"""winick""",4,3,com,"""com""",4,3,machines,"""machines""",4,3,ital,"""ital""",2,3
East Village,"""",dm,"""dm""",2,3,restaurant,"""restaurant""",2,3,entry,"""entry""",2,3,man,"""man""",2,3,meters,"""meters""",2,3
SoHo-Little Italy-Hudson Square,"""",equipment,"""equipment""",12,3,kitchen,"""kitchen""",6,3,custom,"""custom""",6,3,supplies,"""supplies""",4,3,fax,"""fax""",4,3
Lower East Side,"""",salk,"""salk""",2,3,space,"""space""",2,3,this,"""this""",2,3,block,"""block""",2,3,battle,"""battle""",2,3
Chinatown-Two Bridges,"""",chase,"""chase""",2,3,pharmacy,"""pharmacy""",2,3,shuang,"""shuang""",2,3,wen,"""wen""",2,3,academy,"""academy""",2,3
Downtown Brooklyn-DUMBO-Boerum Hill,"""",anytime,"""anytime""",6,3,no,"""no""",4,2,standing,"""standing""",4,3,chase,"""chase""",4,3,grow,"""grow""",4,3
Fort Greene,"""",extension,"""extension""",4,3,retail,"""retail""",4,3,ripco,"""ripco""",4,3,com,"""com""",4,3,photo,"""photo""",4,3
Park Slope,"""",not,"""not""",8,2,www,"""www""",6,3,do,"""do""",6,3,enter,"""enter""",6,3,american,"""american""",4,3
Prospect Heights,"""",keys,"""keys""",4,3,crunch,"""crunch""",4,3,cinderelia,"""cinderelia""",2,3,express,"""express""",2,3,shoe,"""shoe""",2,3
Prospect Park,"""",local,"""local""",2,3,,"""""",,,,"""""",,,,"""""",,,,"""""",,
Prospect Lefferts Gardens-Wingate,"""",beauty,"""beauty""",8,3,pharmacy,"""pharmacy""",8,3,construction,"""construction""",6,3,all,"""all""",4,3,hardware,"""hardware""",4,3
Flatbush,"""",food,"""food""",8,3,city,"""city""",6,3,name,"""name""",6,3,express,"""express""",4,3,outlet,"""outlet""",4,3
East Flatbush-Erasmus,"""",home,"""home""",22,3,your,"""your""",16,3,care,"""care""",14,3,you,"""you""",12,3,safety,"""safety""",12,3
Holy Cross Cemetery,"""",monday,"""monday""",2,3,thes,"""thes""",2,3,am,"""am""",2,3,pm,"""pm""",2,3,school,"""school""",2,3
